Chick-fil-A,3.0
Smashburger,3.5
Tasty Burger,3.0
Maria's Taqueria,4.0
Mike & Patty's - Boston,4.5
Parish Cafe & Bar,4.0
Flour Bakery + Café,4.0
Boloco,4.0
Blaze Pizza,4.0
Clover Food Lab,4.5
The Beehive,3.5
El Jefe's Taqueria,4.0
Boston Kitchen Pizza,4.0
Burritos and Tacos To Go,4.0
New York Pizza -Boston,3.0
Lolita Cocina & Tequila Bar Back Bay,4.0
Billy's Sub Shop,4.5
MOOYAH Burgers, Fries & Shakes,4.0
CAVA,4.0
B.GOOD,3.5
Beatnic - Back Bay,3.5
Chipotle Mexican Grill,2.5
sweetgreen,4.0
Panera Bread,3.0
Nicole's Pizza,3.5
Precinct Kitchen + Bar,3.5
M.J. O'Connor's,3.0
Anchovies,4.0
El Triunfo,3.5
McDonald's,2.0
Thinking Cup,4.0
FiRE + iCE  Grill + Bar,3.0
Chipotle Mexican Grill,3.5
California Pizza Kitchen at Prudential,3.0
Rock Bottom Restaurant & Brewery,3.0
Bostonian Market and Cafe,3.5
Au Bon Pain,2.5
Au Bon Pain,3.0
Cheers,3.5
Banh Mi Huong Que,4.5
Chilacates Mexican Street Food,4.0
Joe's On Newbury,3.5
Viga Italian Eatery & Caterer,3.5
Panini Sante,5.0
Berkeley Cafe,3.0
Cafe Med,3.5
Legal Sea Foods,3.5
Earl of Sandwich,3.5
Fajitas & 'Ritas,3.0
Herrera's Mexican Grill,3.5
